Rk,Gcar,Gtm,Date,Team,Unnamed: 5,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
53.0,53.0,53.0,4/9/2021,MIN,@,BOS,"L, 136-145 (OT)",1.0,40:26:00,7.0,12.0,0.583,2.0,6.0,0.333,5.0,6.0,0.833,0.667,8.0,8.0,1.0,1.0,4.0,5.0,5.0,1.0,0.0,3.0,3.0,24.0,20.6,-1.0
54.0,54.0,54.0,4/11/2021,MIN,,CHI,"W, 121-117",1.0,35:49:00,5.0,14.0,0.357,2.0,5.0,0.4,3.0,9.0,0.333,0.429,3.0,3.0,1.0,0.0,5.0,5.0,2.0,3.0,0.0,2.0,0.0,15.0,11.1,4.0
55.0,55.0,55.0,4/13/2021,MIN,,BRK,"L, 97-127",1.0,33:12:00,8.0,22.0,0.364,2.0,11.0,0.182,6.0,11.0,0.545,0.409,9.0,12.0,0.75,1.0,7.0,8.0,2.0,1.0,1.0,1.0,2.0,27.0,17.7,-39.0
56.0,56.0,56.0,4/14/2021,MIN,,MIL,"L, 105-130",1.0,30:54:00,8.0,21.0,0.381,5.0,11.0,0.455,3.0,10.0,0.3,0.5,3.0,5.0,0.6,0.0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,24.0,14.8,-21.0
57.0,57.0,57.0,4/16/2021,MIN,,MIA,"W, 119-111",1.0,30:20:00,5.0,13.0,0.385,2.0,6.0,0.333,3.0,7.0,0.429,0.462,0.0,0.0,,0.0,4.0,4.0,5.0,1.0,0.0,1.0,0.0,12.0,9.6,19.0
58.0,58.0,58.0,4/18/2021,MIN,@,LAC,"L, 105-124",1.0,28:40:00,6.0,16.0,0.375,5.0,11.0,0.455,1.0,5.0,0.2,0.531,6.0,7.0,0.857,0.0,6.0,6.0,3.0,0.0,0.0,1.0,4.0,23.0,15.1,-17.0
59.0,59.0,59.0,4/20/2021,MIN,@,SAC,"W, 134-120",1.0,37:54:00,11.0,21.0,0.524,5.0,12.0,0.417,6.0,9.0,0.667,0.643,1.0,1.0,1.0,0.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,28.0,20.9,4.0
60.0,60.0,60.0,4/21/2021,MIN,@,SAC,"L, 125-128",1.0,27:57:00,4.0,10.0,0.4,2.0,7.0,0.286,2.0,3.0,0.667,0.5,6.0,8.0,0.75,0.0,1.0,1.0,2.0,0.0,0.0,2.0,1.0,16.0,9.1,-3.0
61.0,61.0,61.0,4/24/2021,MIN,@,UTA,"W, 101-96",1.0,36:09:00,9.0,19.0,0.474,4.0,10.0,0.4,5.0,9.0,0.556,0.579,1.0,3.0,0.333,1.0,8.0,9.0,4.0,5.0,0.0,2.0,1.0,23.0,21.0,5.0
62.0,62.0,62.0,4/26/2021,MIN,,UTA,"W, 105-104",1.0,37:44:00,5.0,17.0,0.294,1.0,10.0,0.1,4.0,7.0,0.571,0.324,3.0,3.0,1.0,1.0,8.0,9.0,4.0,1.0,0.0,3.0,2.0,14.0,7.2,1.0
63.0,63.0,63.0,4/27/2021,MIN,@,HOU,"W, 114-107",1.0,33:04:00,9.0,22.0,0.409,1.0,8.0,0.125,8.0,14.0,0.571,0.432,0.0,3.0,0.0,2.0,7.0,9.0,2.0,3.0,2.0,3.0,1.0,19.0,11.9,2.0
64.0,64.0,64.0,4/29/2021,MIN,,GSW,"W, 126-114",1.0,34:30:00,10.0,19.0,0.526,3.0,6.0,0.5,7.0,13.0,0.538,0.605,2.0,3.0,0.667,0.0,5.0,5.0,3.0,0.0,1.0,2.0,4.0,25.0,16.0,5.0
65.0,65.0,65.0,5/1/2021,MIN,,NOP,"L, 136-140 (OT)",1.0,38:12:00,9.0,21.0,0.429,2.0,7.0,0.286,7.0,14.0,0.5,0.476,9.0,11.0,0.818,2.0,7.0,9.0,6.0,0.0,1.0,6.0,3.0,29.0,18.3,-8.0
66.0,66.0,66.0,5/5/2021,MIN,,MEM,"L, 135-139",1.0,38:14:00,17.0,22.0,0.773,8.0,9.0,0.889,9.0,13.0,0.692,0.955,0.0,1.0,0.0,1.0,5.0,6.0,7.0,1.0,1.0,3.0,4.0,42.0,37.2,11.0
67.0,67.0,67.0,5/7/2021,MIN,@,MIA,"L, 112-121",1.0,41:21:00,10.0,19.0,0.526,2.0,9.0,0.222,8.0,10.0,0.8,0.579,3.0,3.0,1.0,2.0,4.0,6.0,3.0,0.0,1.0,5.0,4.0,25.0,14.5,-1.0
68.0,68.0,68.0,5/9/2021,MIN,@,ORL,"W, 128-96",1.0,28:58:00,7.0,11.0,0.636,2.0,6.0,0.333,5.0,5.0,1.0,0.727,0.0,1.0,0.0,1.0,9.0,10.0,5.0,0.0,1.0,1.0,2.0,16.0,16.5,25.0
69.0,69.0,69.0,5/11/2021,MIN,@,DET,"W, 119-100",1.0,34:05:00,7.0,16.0,0.438,2.0,6.0,0.333,5.0,10.0,0.5,0.5,6.0,9.0,0.667,1.0,1.0,2.0,2.0,2.0,0.0,4.0,3.0,22.0,11.6,30.0
70.0,70.0,70.0,5/13/2021,MIN,,DEN,"L, 103-114",1.0,39:29:00,8.0,16.0,0.5,4.0,9.0,0.444,4.0,7.0,0.571,0.625,9.0,12.0,0.75,1.0,6.0,7.0,5.0,0.0,2.0,1.0,3.0,29.0,25.0,-6.0
71.0,71.0,71.0,5/15/2021,MIN,,BOS,"L, 108-124",1.0,33:50:00,8.0,18.0,0.444,1.0,9.0,0.111,7.0,9.0,0.778,0.472,6.0,6.0,1.0,0.0,4.0,4.0,6.0,3.0,0.0,2.0,1.0,23.0,19.6,-12.0
72.0,72.0,72.0,5/16/2021,MIN,,DAL,"W, 136-121",1.0,38:13:00,10.0,21.0,0.476,5.0,9.0,0.556,5.0,12.0,0.417,0.595,5.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,30.0,22.1,9.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
